	R		F		Words
    1	 5036		the
    2	 2805		a
    3	 2223		and
    4	 2185		to
    5	 2068		of
    6	 1685		in
    7	 1379		wa
    8	 1205		i
    9	 1120		he
   10	 1008		s
   11	  935		on
   12	  899		for
   13	  809		it
   14	  751		that
   15	  723		with
   16	  707		hi
   17	  670		said
   18	  651		her
   19	  648		had
   20	  620		be
   21	  601		at
   22	  574		she
   23	  455		who
   24	  443		by
   25	  438		year
   26	  404		have
   27	  393		but
   28	  391		after
   29	  374		been
   30	  356		ha
   31	  344		from
   32	  323		mr
   33	  305		were
   34	  285		an
   35	  285		not
   36	  284		will
   37	  274		thei
   38	  261		court
   39	  260		him
   40	  238		yesterdai
   41	  238		when
   42	  233		last
   43	  216		their
   44	  215		which
   45	  215		two
   46	  211		thi
   47	  209		up
   48	  204		out
   49	  201		told
   50	  197		would
   51	  186		ar
   52	  185		there
   53	  180		star
   54	  178		time
   55	  176		murder
   56	  173		new
   57	  172		home
   58	  172		about
   59	  172		all
   60	  169		t
   61	  169		night
   62	  163		you
   63	  161		we
   64	  158		care
   65	  156		polic
   66	  153		old
   67	  149		more
   68	  148		nurs
   69	  147		london
   70	  146		three
   71	  140		smith
   72	  139		befor
   73	  137		them
   74	  137		film
   75	  137		kill
   76	  136		other
   77	  131		back
   78	  129		go
   79	  129		or
   80	  128		bbc
   81	  128		show
   82	  127		found
   83	  126		also
   84	  124		first
   85	  121		dai
   86	  118		just
   87	  118		into
   88	  117		my
   89	  115		so
   90	  115		like
   91	  113		made
   92	  113		plai
   93	  112		then
   94	  111		m
   95	  111		could
   96	  110		noel
   97	  109		what
   98	  108		if
   99	  107		live
  100	  106		life
  101	  106		where
  102	  106		now
  103	  105		no
  104	  103		becaus
  105	  102		peopl
  106	  100		month
  107	  100		onli
  108	   98		than
  109	   98		do
  110	   98		get
  111	   98		famili
  112	   95		hous
  113	   93		week
  114	   93		band
  115	   92		over
  116	   91		call
  117	   91		work
  118	   90		mother
  119	   89		rule
  120	   88		judg
  121	   88		health
  122	   88		miss
  123	   87		look
  124	   87		come
  125	   86		ad
  126	   86		charg
  127	   86		veri
  128	   85		long
  129	   85		hobb
  130	   85		wife
  131	   84		sentenc
  132	   84		sai
  133	   83		attack
  134	   83		girl
  135	   83		babi
  136	   81		paul
  137	   81		servic
  138	   80		want
  139	   80		should
  140	   80		can
  141	   79		appear
  142	   79		down
  143	   79		me
  144	   79		four
  145	   77		includ
  146	   76		off
  147	   75		did
  148	   75		real
  149	   74		face
  150	   72		while
  151	   72		us
  152	   72		even
  153	   72		boi
  154	   71		six
  155	   71		claim
  156	   70		rock
  157	   70		author
  158	   70		convict
  159	   70		man
  160	   69		most
  161	   68		case
  162	   68		juri
  163	   68		jail
  164	   68		000
  165	   67		assault
  166	   67		make
  167	   67		offic
  168	   67		sinc
  169	   67		heard
  170	   66		feel
  171	   66		hospit
  172	   66		manchest
  173	   66		next
  174	   66		street
  175	   65		bodi
  176	   65		ba
  177	   65		nh
  178	   64		some
  179	   64		wai
  180	   64		million
  181	   64		head
  182	   64		women
  183	   63		how
  184	   63		ever
  185	   63		later
  186	   63		name
  187	   62		free
  188	   61		cotterel
  189	   61		crown
  190	   61		seri
  191	   61		daughter
  192	   60		travel
  193	   60		part
  194	   60		sex
  195	   60		see
  196	   59		friend
  197	   59		british
  198	   59		set
  199	   59		brian
  200	   59		children
  201	   59		oasi
  202	   58		both
  203	   58		give
  204	   58		tv
  205	   58		trial
  206	   58		fan
  207	   58		went
  208	   57		di
  209	   57		hagland
  210	   57		gallagh
  211	   57		pai
  212	   57		peter
  213	   56		u
  214	   56		believ
  215	   56		left
  216	   56		ani
  217	   56		men
  218	   55		brown
  219	   55		love
  220	   55		child
  221	   55		world
  222	   55		birth
  223	   54		such
  224	   54		mean
  225	   54		need
  226	   54		too
  227	   53		programm
  228	   53		awai
  229	   53		still
  230	   52		hit
  231	   52		alwai
  232	   52		act
  233	   52		forc
  234	   52		social
  235	   52		arriv
  236	   52		take
  237	   52		meg
  238	   52		martin
  239	   51		young
  240	   51		present
  241	   51		own
  242	   50		know
  243	   50		near
  244	   50		death
  245	   50		move
  246	   50		watch
  247	   50		admit
  248	   49		arrest
  249	   49		start
  250	   49		end
  251	   49		dure
  252	   49		harvei
  253	   49		return
